number,title,Place
245,甘く冷たい宅配便,阿笠博士の家
246,甘く冷たい宅配便,喫茶店ポアロ
247,甘く冷たい宅配便,米花町
248,甘く冷たい宅配便,工藤邸
244,果実が詰まった宝箱,毛利探偵事務所
245,果実が詰まった宝箱,日売テレビ
246,果実が詰まった宝箱,春日邸
245,現場の隣人は元カレ,シャトー米花マンション
246,ジョディの追憶とお花見の罠,神社
247,小五郎はＢＡＲにいる,ブルーパロット
248,蘭も倒れたバスルーム,阿笠博士の家
249,蘭も倒れたバスルーム,橋谷和香のマンション
249,容疑者か京極真,サンデーボウル
250,容疑者か京極真,サンデーボウルの駐車場
250,怪盗キッドＶＳ京極真,鈴木園子の家
251,怪盗キッドＶＳ京極真,鈴木次郎吉邸
252,怪盗キッドＶＳ京極真,鈴木大博物館
253,怪盗キッドＶＳ京極真,羽田空港
254,怪盗キッドＶＳ京極真,毛利探偵事務所
251,招き三毛猫の事件,喫茶ポアロ
252,招き三毛猫の事件,毛利探偵事務所
253,招き三毛猫の事件,阿笠博士の家
254,招き三毛猫の事件,益子貞司のマンション
252,本庁の刑事恋物語[告白／真相],警視庁
253,本庁の刑事恋物語[告白／真相],サンデーマート
254,本庁の刑事恋物語[告白／真相],志賀敏成のアパート
253,赤女の悲劇,貸し別荘
254,赤女の悲劇,パチンコSUNDAY
254,意外な結果の恋愛小説,世良が滞在するホテル
255,コナンと平次恋の暗号,恵比寿橋
256,コナンと平次恋の暗号,戎橋
256,工藤新一水族館事件,米花水族館
257,堤無津川凧揚げ事件,阿笠博士の家
258,堤無津川凧揚げ事件,堤無津川
259,堤無津川凧揚げ事件,毛利探偵事務所
258,ギスギスしたお茶会,毛利探偵事務所
259,ギスギスしたお茶会,杯戸中央病院
259,緋色シリーズ［序章／追求］,杯戸小学校
260,緋色シリーズ［序章／追求］,杯戸公園
261,緋色シリーズ［序章／追求］,杯戸中央病院
260,緋色シリーズ［交錯／帰還／真相］,杯戸中央病院
261,緋色シリーズ［交錯／帰還／真相］,来葉峠
262,緋色シリーズ［交錯／帰還／真相］,毛利探偵事務所
263,緋色シリーズ［交錯／帰還／真相］,工藤邸
264,緋色シリーズ［交錯／帰還／真相］,喫茶ポアロ
261,太閤恋する名人戦,時和ホテル
262,太閤恋する名人戦,ホテル杯戸プライド
263,太閤恋する名人戦,明治神宮
264,太閤恋する名人戦,警視庁
265,太閤恋する名人戦,幽霊坂
262,真夏のプールに沈む謎,ホテル杯戸プライド
263,真夏のプールに沈む謎,ホテル杯戸プライドのプール
263,三人の第一発見者,駒井保江のアパート
264,かまいたちの宿,毛利探偵事務所
265,かまいたちの宿,立居旅館
265,県警の黒い闇,長野県妻女山
266,県警の黒い闇,川中島古戦場跡
267,県警の黒い闇,千曲川
268,県警の黒い闇,長野県警本部
269,県警の黒い闇,鹿野晶次の家
270,県警の黒い闇,妻女山の山小屋
271,県警の黒い闇,北陸新幹線
266,ブログ女優の密室事件,ホテル
267,サクラ組の思い出（蘭GIRL／新一BOY）,毛利家
268,サクラ組の思い出（蘭GIRL／新一BOY）,工藤優作のサイン会会場
269,サクラ組の思い出（蘭GIRL／新一BOY）,工藤邸
270,サクラ組の思い出（蘭GIRL／新一BOY）,米花保育園
271,サクラ組の思い出（蘭GIRL／新一BOY）,米花児童遊園
268,容疑者は熱愛カップル,毛利探偵事務所
269,容疑者は熱愛カップル,ItalianAska
269,死ぬほど美味いラーメン２,ラーメン小倉
270,死ぬほど美味いラーメン２,頓田温子の自宅前
271,死ぬほど美味いラーメン２,羽田秀吉の自宅
270,ゾンビが囲む別荘,毛利探偵事務所
271,ゾンビが囲む別荘,ホラー映画の貸し別荘
271,仲の悪いガールズバンド,喫茶ポアロ
272,仲の悪いガールズバンド,SOUNDSTUDIOHAKOBUNE
272,探偵団はヤブの中,米花デパート
273,千葉のUFO難事件,警視庁
274,千葉のUFO難事件,千葉刑事の自宅
275,千葉のUFO難事件,毛利探偵事務所
276,千葉のUFO難事件,杯戸公園
277,千葉のUFO難事件,杯戸高校
278,千葉のUFO難事件,朽木雄輔の自宅
279,千葉のUFO難事件,帝丹高校
274,婚姻届のパスワード,宮本由美のマンション
275,婚姻届のパスワード,仁屋旅館
275,17年前と同じ現場,阿笠博士の家
276,17年前と同じ現場,樋山邦寿の家
276,霊魂探偵殺害事件,毛利探偵事務所
277,霊魂探偵殺害事件,堀田凱人の宿泊するホテル
277,裏切りのステージ,工藤新一の家
278,裏切りのステージ,東都ホール
279,裏切りのステージ,ビルの屋上
278,コナンと平次の鵺伝説,喫茶ポアロ
279,コナンと平次の鵺伝説,毛利探偵事務所
280,コナンと平次の鵺伝説,宿里村
279,怪盗キッドの絡繰箱,友寄公華の家
280,怪盗キッドの絡繰箱,阿笠博士の家
281,怪盗キッドの絡繰箱,鈴木大図書館
280,新任教師の骸骨事件,帝丹小学校
281,試着室の死角,デパート
282,さざ波の魔法使い,熱浜海水浴場
283,となりの江戸前推理ショー,毛利探偵事務所
284,となりの江戸前推理ショー,米花いろは寿司
285,となりの江戸前推理ショー,米花町五丁目交番
284,白い手の女,帝丹小学校
285,白い手の女,若狭留美のマンション
286,白い手の女,警視庁
287,白い手の女,米花いろは寿司
285,謎解きは喫茶ポアロで,毛利探偵事務所
286,謎解きは喫茶ポアロで,喫茶ポアロ
287,謎解きは喫茶ポアロで,錦座４丁目
286,妃弁護士ＳＯＳ,毛利探偵事務所
287,妃弁護士ＳＯＳ,妃法律事務所
288,妃弁護士ＳＯＳ,廃ビル
289,妃弁護士ＳＯＳ,僧上寺
290,妃弁護士ＳＯＳ,映画館
287,燃えるテントの怪,警視庁
288,燃えるテントの怪,キャンプ場
288,恋と推理の剣道大会,東都体育館
289,ＪＫトリオ秘密のカフェ,毛利探偵事務所
290,ＪＫトリオ秘密のカフェ,米花書店
291,ＪＫトリオ秘密のカフェ,CafeRICEFLOWER
290,心のこもったストラップ,阿笠博士の家
291,心のこもったストラップ,電車
292,心のこもったストラップ,ダニーズ
293,心のこもったストラップ,千槍駅
294,心のこもったストラップ,千槍海水浴場
291,紅の修学旅行,清水寺
292,紅の修学旅行,養源院
293,紅の修学旅行,HOTELGION
294,紅の修学旅行,先斗町急山
295,紅の修学旅行,ロサンゼルス
296,紅の修学旅行,メアリーのホテル
297,紅の修学旅行,米花いろは寿司
292,マリアちゃんをさがせ！,毛利探偵事務所
293,マリアちゃんをさがせ！,阿笠博士の家
294,マリアちゃんをさがせ！,工藤新一の家
295,マリアちゃんをさがせ！,帝丹小学校
296,マリアちゃんをさがせ！,東尾マリアの家
297,マリアちゃんをさがせ！,東尾マリアの向かいの家
298,マリアちゃんをさがせ！,私立改方学園
299,マリアちゃんをさがせ！,帝丹高校
300,マリアちゃんをさがせ！,羽田空港
301,マリアちゃんをさがせ！,喫茶ポアロ
293,迷宮カクテル,毛利探偵事務所
294,迷宮カクテル,黒ウサギ亭
295,迷宮カクテル,宮野医院
296,迷宮カクテル,工藤新一の家
294,標的（ターゲット）は警視庁交通部,三池苗子の家
295,標的（ターゲット）は警視庁交通部,警視庁
296,標的（ターゲット）は警視庁交通部,カラオケ米花
297,標的（ターゲット）は警視庁交通部,米花東公園
298,標的（ターゲット）は警視庁交通部,八木が殺されたマンション
299,標的（ターゲット）は警視庁交通部,喫茶ポアロ
300,標的（ターゲット）は警視庁交通部,将棋会館
301,標的（ターゲット）は警視庁交通部,改装中のプラネタリウム
302,標的（ターゲット）は警視庁交通部,米花大学病院
295,キッドＶＳ高明狙われた唇,新幹線の車中
296,キッドＶＳ高明狙われた唇,毛利探偵事務所
297,キッドＶＳ高明狙われた唇,警視庁
298,キッドＶＳ高明狙われた唇,鈴木大博物館
299,キッドＶＳ高明狙われた唇,長野県警本部
300,キッドＶＳ高明狙われた唇,教会
296,代役・京極真,映画館
297,代役・京極真,廃校舎
298,代役・京極真,阿笠博士の家
297,36マスの完全犯罪(パーフェクトゲーム),電車
298,36マスの完全犯罪(パーフェクトゲーム),毛利探偵事務所
299,36マスの完全犯罪(パーフェクトゲーム),長野県の廃教会
300,36マスの完全犯罪(パーフェクトゲーム),長野県警本部
301,36マスの完全犯罪(パーフェクトゲーム),カフェ
298,山菜狩りとクローバー,群馬県水乃上駅
299,山菜狩りとクローバー,群馬県の山奥
300,山菜狩りとクローバー,吹越桐司の別荘
299,骨董盆は隠せない,阿笠博士の家
300,骨董盆は隠せない,西津法玄の家
301,骨董盆は隠せない,飛行機の機内
302,骨董盆は隠せない,HOTELBOND-SEVEN
300,大岡紅葉の挑戦状,毛利探偵事務所
301,大岡紅葉の挑戦状,阿笠博士の家
302,大岡紅葉の挑戦状,杯戸中央ビル
303,大岡紅葉の挑戦状,私立改方学園
304,大岡紅葉の挑戦状,杯戸港
301,太閤名人の将棋盤［初手編／妙手編／王手編］,星ドーナツ
302,太閤名人の将棋盤［初手編／妙手編／王手編］,将棋の勉強会のマンション
303,太閤名人の将棋盤［初手編／妙手編／王手編］,岸本雄平の家
304,太閤名人の将棋盤［初手編／妙手編／王手編］,工藤邸
305,太閤名人の将棋盤［初手編／妙手編／王手編］,菱沼浩輔の家
302,天罰くだる誕生パーティー,山井書店
303,天罰くだる誕生パーティー,CafeZoo-Too
304,天罰くだる誕生パーティー,メアリーと世良が滞在するホテル
305,天罰くだる誕生パーティー,ヴォクスホールブリッジ
306,天罰くだる誕生パーティー,メアリーと世良のロンドンの部屋
307,天罰くだる誕生パーティー,ウインブルドン
303,牧場に墜ちた火種,喫茶ポアロ
304,牧場に墜ちた火種,バス
305,牧場に墜ちた火種,鳩山牧場
304,沖野ヨーコと屋根裏の密室,毛利探偵事務所
305,沖野ヨーコと屋根裏の密室,軽井沢の別荘
306,沖野ヨーコと屋根裏の密室,喫茶ポアロ
305,工藤優作の推理ショー,警視庁
306,工藤優作の推理ショー,べいか薬局
307,工藤優作の推理ショー,工藤邸
308,工藤優作の推理ショー,盛田敦美のマンション
309,工藤優作の推理ショー,桐生泰二のアパート
310,工藤優作の推理ショー,菅沢惟次の一軒家
311,工藤優作の推理ショー,毛利探偵事務所
306,黒ずくめの謀略［狩り／上陸／正体］,米花町のビル工藤邸駐車場海ボタル海猿島なみかぜ公園
307,不吉な縁結び,毛利探偵事務所杯戸神社
308,13年前の声を探せ,帝丹小学校いろは寿司
309,風の女神との出会い,デェース・デュヴォンレストラン地下駐車場高速道路萩原姉弟の家ライブ会場
310,怪盗キッドVS安室透,鈴木大博物館アイドルフェス会場風見裕也の家
311,伊達が遺した事件メモ,喫茶ポアロ白美濃マンション
312,秘密基地のメッセージ,高崎駅冬名峠ホテル月島一貴のマンション秘密基地
313,婚活パーティー殺人事件,レストランBalMasqué大江忍の家のキッチン
314,京都スイーツと毒薬,京都徳大屋XX.cafe嵐山本店祇園ななこ蜂屋株本恭助の家大多福屋フルーツサンドアオイソ
315,めんどうくさいトリプルコラボ,レストランDanny's東都ドーム
316,ホテル連続爆破事件,杯戸町の本屋杯戸ホテル
317,二人の引率者,帝丹小学校海の家
318,怪盗キッドの王冠マジック,銀座・鈴木ビル喫茶ポアロ謎の老人の部屋
